phylo_level_val	Lineage	Soilmicrobialcommunitie3300051019	Soilmicrobialcommunitie3300051162	Soilmicrobialcommunitie3300051161	Soilmicrobialcommunitie3300051208	Soilmicrobialcommunitie3300051207	Soilmicrobialcommunitie3300051206	Soilmicrobialcommunitie3300052722	Soilmicrobialcommunitie3300052920	Soilmicrobialcommunitie3300052919	Soilmicrobialcommunitie3300056874	Soilmicrobialcommunitie3300056859	Soilmicrobialcommunitie3300056873	Soilmicrobialcommunitie3300056968	Soilmicrobialcommunitie3300056860	Soilmicrobialcommunitie3300056967	Soilmicrobialcommunitie3300060290	Soilmicrobialcommunitie3300056875	Soilmicrobialcommunitie3300056969	Soilmicrobialcommunitie3300056594	Soilmicrobialcommunitie3300056862	Soilmicrobialcommunitie3300056861	Soilmicrobialcommunitie3300056611	Soilmicrobialcommunitie3300056619	Soilmicrobialcommunitie3300056620	Soilmicrobialcommunitie3300056618	Soilmicrobialcommunitie3300056612	Soilmicrobialcommunitie3300056595	Soilmicrobialcommunitie3300060274	Soilmicrobialcommunitie3300061209	Soilmicrobialcommunitie3300061208	Soilmicrobialcommunitie3300060272	Soilmicrobialcommunitie3300060271	Soilmicrobialcommunitie3300060275	Soilmicrobialcommunitie3300060276	Soilmicrobialcommunitie3300061215	Soilmicrobialcommunitie3300061210
Bacteria:Bacillota_A:Clostridia:Eubacteriales	Bacteria:Bacillota_A:Clostridia:Eubacteriales	6251	3918	2870	1903	1851	1847	3881	4589	2097	498	124	248	417	172	176	279	234	141	430	313	144	284	342	170	338	192	143	120	506	294	201	172	291	289	469	150
Archaea:Halobacteriota:Methanosarcinia_A:Methanosarcinales_A	Archaea:Halobacteriota:Methanosarcinia_A:Methanosarcinales_A	6226	3189	1858	800	677	538	3066	2836	711	340	90	101	276	57	70	227	166	37	355	230	101	410	290	150	433	129	56	55	327	97	137	111	211	227	256	58
Bacteria:Myxococcota:Polyangia:Nannocystales	Bacteria:Myxococcota:Polyangia:Nannocystales	6165	4319	3824	5902	10461	12669	7194	9104	6965	738	132	427	568	885	1032	334	376	1418	600	647	760	270	664	543	326	742	762	566	919	1218	206	570	465	405	829	1133
Bacteria:Cyanobacteriota:Cyanobacteriia:Leptolyngbyales	Bacteria:Cyanobacteriota:Cyanobacteriia:Leptolyngbyales	6053	3516	2760	2630	3924	5190	4555	5621	3876	591	136	371	476	392	471	293	293	420	487	465	298	340	467	284	377	345	319	286	667	531	187	291	331	341	596	440
Bacteria:Cyanobacteriota:Cyanobacteriia:Elainellales	Bacteria:Cyanobacteriota:Cyanobacteriia:Elainellales	5958	4376	4385	4386	5611	6608	6799	8472	5717	568	162	416	578	470	563	284	395	515	423	586	370	241	531	332	302	451	383	340	845	715	248	426	489	417	756	471
Bacteria:Myxococcota:Polyangia:Haliangiales	Bacteria:Myxococcota:Polyangia:Haliangiales	5770	3835	2729	3621	7808	8297	5023	8588	4515	629	82	275	392	666	654	275	319	835	609	417	1195	217	516	405	282	440	497	522	733	941	145	309	298	314	599	721
Bacteria:Bacillota_C:Negativicutes:Sporomusales_A	Bacteria:Bacillota_C:Negativicutes:Sporomusales_A	5766	3684	2753	2899	2749	3144	4397	4659	2798	446	127	273	413	228	253	271	406	218	412	338	197	289	397	245	370	265	196	138	489	309	188	244	301	274	472	220
Bacteria:Bacillota:Bacilli:Tumebacillales	Bacteria:Bacillota:Bacilli:Tumebacillales	5631	2915	2144	1697	2029	2421	3589	3330	1912	449	115	200	364	176	232	194	219	180	349	279	157	279	328	187	319	224	160	136	434	262	140	167	235	251	396	184
Bacteria:Armatimonadota:Armatimonadia:Armatimonadales	Bacteria:Armatimonadota:Armatimonadia:Armatimonadales	5626	3343	2158	2198	3093	5652	3649	4669	3570	467	84	281	395	354	421	200	170	421	413	317	222	266	312	189	293	253	251	176	586	504	141	209	267	218	429	384
Bacteria:Bacillota:Bacilli:Bacillales_H	Bacteria:Bacillota:Bacilli:Bacillales_H	5501	3491	2114	1194	1882	1857	3450	3096	1419	520	123	200	387	149	194	234	199	178	410	306	164	279	344	182	354	188	152	103	446	227	164	172	264	281	408	186
