Sample ID,Depth,pH,H2S,Fe2,Fetot,NH4,Ca,Mg,Cl,NO2,NO3,SO4.IC,PO4,Lactate,Acetate,Propionate,Formate,Butyrate,month,SO4(uM),Acetate(uM),Lactate(uM),Propionate(uM),Butyrate(uM),Formate(uM),NH4(uM),Fe2(uM),Fetot(uM),Ca(uM),Mg(uM),Cl(uM),NO2(uM),NO3(uM),PO4(uM),Depth_group
35,-33,8.17,15.905723903333334,0.81,2.3,2512.49,87.54,31.71,0.0,0.0,0.0,0.5079930416111922,0.0,0.0,0.0,0.0,0.31891816909905935,0.0,Oct,5.288289002823154,0.0,0.0,0.0,0.0,7.084394097764385,179.3777263738068,14.504431909750203,41.185423941266,2184.2407305753777,1304.6698210244806,0.0,0.0,0.0,0.0,Mid
36,-33,8.33,18.06060606,0.59,3.97,2499.96,102.62,31.03,14.519273716189868,0.0,0.2302475630451788,0.666189869665056,2.088572861157764,0.0,3.2234699518787617,0.12065146246126585,0.32954828779357065,0.3465427316635882,Oct,6.935143344420737,54.594369485108764,0.0,1.6286644500710832,3.9330692505230753,7.320529750840141,178.48315449035104,10.564956576237801,71.08962306383741,2560.5070113279103,1276.6920386751697,409.5358281722243,0.0,3.713376895135365,21.99159811435615,Mid
37,-36,8.08,12.404040403333333,0.83,3.56,3268.51,117.32,36.09,17.198255667874218,0.0,0.2000158142818229,0.6061336664223855,2.017352597308136,0.0,3.1523379022053377,0.0,0.3265110224900441,0.3396570500000426,Oct,6.309948640666099,53.389639966894826,0.0,0.0,3.8549205538536215,7.253060454718086,233.3533237664832,14.8625660309786,63.7478735786552,2927.2917810269973,1484.8796543921005,485.1001514081803,0.0,3.2258065778966327,21.24168536325816,Mid
38,-36,8.07,6.2087542083333345,1.18,4.49,2807.7,110.81,37.35,15.855697155446144,0.0,0.18301045560243523,0.8551471920627265,1.5544208822855548,0.0,3.246440547212107,0.12663014606558753,0.3979054819933077,0.32933016517229896,Oct,8.90221936355118,54.983411476392305,0.0,1.7093702222676503,3.737716095474963,8.83900486468018,200.454068410118,21.129913152475602,80.40111021577582,2764.8585258745447,1536.7208393334706,447.23146575596263,0.0,2.951548274449846,16.36725248112121,Mid
39,-36,8.22,9.845117844,1.22,4.3,2822.2,125.12,36.73,0.0,0.0,0.0,0.633964589876306,0.0,0.0,0.0,0.0,0.3644819294699291,0.0,Oct,6.599673015576785,0.0,0.0,0.0,0.0,8.096539739874471,201.48928726966378,21.8461813949324,76.998836064106,3121.9122710714105,1511.2116848385103,0.0,0.0,0.0,0.0,Mid
40,-39,8.23,7.016835017000001,1.08,4.75,2938.98,115.07,36.65,17.020338545892127,0.0,0.17923148700701574,0.5504718195145446,1.376370222661485,0.0,3.191331420071356,0.0,0.3948666230837905,0.30868229112008116,Oct,5.730499890844728,54.05005453680909,0.0,0.0,3.5033740905695283,8.771500168465035,209.82672578123325,19.339242546333605,85.056853791745,2871.151255052647,1507.9201810327093,480.08175742228093,0.0,2.8906019847950044,14.492470603376226,Mid
41,-39,8.19,12.404040404,1.29,5.36,2885.15,119.72,35.57,15.890462570086324,0.0,0.18678942419785471,0.4054580604651695,1.3957939309841105,0.0,3.8479176225495344,0.1356001420077413,0.3341043185493596,0.31212305757292585,Oct,4.220883411046945,65.17034114473164,0.0,1.8304554806660542,3.54242489584526,7.421736645030979,205.98356500817465,23.099650819231805,95.9799444892112,2987.1750087329706,1463.4848796543922,448.2120714773453,0.0,3.012494564104687,14.696992262766585,Mid
42,-39,8.12,12.134680132666668,0.68,2.64,2869.82,129.66,36.56,0.0,0.0,0.0,0.7101334330133515,0.0,0.0,0.0,0.0,0.35840584067035186,0.0,Oct,7.3926028837533995,0.0,0.0,0.0,0.0,7.961566534206007,204.8890887932204,12.176560121765602,47.27370400214881,3235.19137681521,1504.217239251183,0.0,0.0,0.0,0.0,Mid
43,-42,8.11,13.346801346666666,0.88,4.06,3044.38,131.55,37.18,18.136921863159042,0.0,0.23213704734288854,0.48748604538198775,1.8587256460066923,0.0,3.476811138200473,0.12663014606558753,0.3538489599913678,0.29148173419100737,Oct,5.074807884467914,58.88508803943623,0.0,1.7093702222676503,3.3081572374419177,7.860340759965518,217.35169597406954,15.757901334049603,72.70122660936521,3282.3494186336648,1529.7263937461428,511.5765058855115,0.0,3.7438500399627856,19.57142514490354,Btm
44,-42,8.09,14.424242423333334,0.89,2.47,2805.42,118.0,34.4,16.38535847261122,0.0,0.2000158142818229,0.6075984518673287,1.8813866390497556,0.0,3.1798591130497567,0.0,0.4267781741270005,0.3052417430229131,Oct,6.325197291977188,53.85575355751231,0.0,0.0,3.4643257635105336,9.480377948930414,200.29128916875496,15.9369683946638,44.22956397170741,2944.25869554369,1415.3466364945484,462.1712823346746,0.0,3.2258065778966327,19.81003374752563,Btm
45,-42,8.14,5.535353535,0.93,1.81,2864.54,135.2,36.22,16.54384786288262,0.0,0.21891065725892034,0.5724436011886923,2.1371321319643286,0.0,3.460645862366437,0.14158145299295788,0.4024639031580827,0.3672050171904645,Oct,5.959229660511059,58.61130449099717,0.0,1.911196719667358,4.1675748177331124,8.940264859010655,204.5121263395375,16.6532366371206,32.411137971170206,3373.4218274364985,1490.2283480765275,466.6416907703895,0.0,3.5305380261708406,22.50290226283206,Btm
